year,track_name,track_popularity,album,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2000,The Riddle,68,L'Amour Toujours,Gigi D'Agostino,['eurodance'; 'italo dance'],66,0.74,0.876,6.0,83.0,0.0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,285427.0
2000,The Time Is Now,58,Things to Make and Do,Moloko,['electronica'; 'trip hop'],53,0.682,0.743,9.0,102.0,0.0,0.165,0.35,0.000129,0.277,0.546,127.962,318280.0
2000,The Way You Love Me,60,Breathe,Faith Hill,['contemporary country'; 'country'; 'country dawn'; 'country road'],61,0.627,0.716,2.0,85.0,1.0,0.0352,0.127,0.0,0.0344,0.734,101.99,186067.0
2000,There You Go,59,Can't Take Me Home (Expanded Edition),P!nk,['dance pop'; 'pop'],79,0.822,0.847,10.0,82.0,0.0,0.0917,0.0854,0.0,0.0452,0.668,107.908,202800.0
2000,This I Promise You,68,No Strings Attached,*NSYNC,['boy band'; 'dance pop'; 'pop'],65,0.55,0.587,2.0,79.0,1.0,0.0329,0.354,0.0,0.128,0.466,165.975,284760.0
2000,Thong Song,73,Unleash The Dragon,Sisqo,['contemporary r&b'; 'dirty south rap'; 'hip pop'; 'r&b'; 'urban contemporary'],56,0.706,0.888,2.0,84.0,1.0,0.0654,0.119,9.64e-05,0.07,0.714,121.549,253733.0
2000,Try Again,70,Aaliyah,Aaliyah,['contemporary r&b'; 'dance pop'; 'hip pop'; 'r&b'; 'urban contemporary'],65,0.794,0.662,6.0,69.0,0.0,0.249,0.0789,0.0,0.0937,0.683,93.053,284640.0
2000,"U Know What's Up (feat, Lisa ""Left Eye"" Lopes)",68,Where I Wanna Be,Donell Jones,['contemporary r&b'; 'r&b'; 'urban contemporary'],54,0.854,0.543,8.0,79.0,0.0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,243733.0
2000,What a Girl Wants,66,Christina Aguilera (Expanded Edition),Christina Aguilera,['dance pop'; 'pop'],75,0.754,0.819,0.0,83.0,1.0,0.112,0.0684,0.0,0.345,0.818,142.137,215800.0
2000,"What'chu Like (feat, Tyrese)",56,Unrestricted,Da Brat,['chicago rap'; 'contemporary r&b'; 'dirty south rap'; 'hip pop'; 'new jack swing'; 'r&b'; 'urban contemporary'],50,0.879,0.681,10.0,95.0,0.0,0.24,0.017,0.0,0.0669,0.817,99.974,221160.0
2000,Where I Wanna Be,60,Where I Wanna Be,Donell Jones,['contemporary r&b'; 'r&b'; 'urban contemporary'],54,0.664,0.396,5.0,96.0,0.0,0.0298,0.52,0.0,0.268,0.453,102.053,253627.0
